sample-id	ID_clean	Sample_type	Pop_code	Latitude	Longitude
P2_soil	P2	soil	P	31.46366	-81.364939
U11_soil	U11	soil	U	35.901342	-78.946285
BG5_soil	BG5	soil	BG	10.345278	-85.33861111
D5_soil	D5	soil	D	26.181227	-81.555852
M1_soil	M1	soil	M	30.541895	-81.929114
P7_soil	P7	soil	P	31.46366	-81.364939
U13_soil	U13	soil	U	35.901342	-78.946285
BG9_soil	BG9	soil	BG	10.345278	-85.33861111
E1_soil	E1	soil	E	28.55832	-81.639747
M2_soil	M2	soil	M	30.541895	-81.929114
P9_soil	P9	soil	P	31.46366	-81.364939
U16_soil	U16	soil	U	35.901342	-78.946285
BI1_soil	BI1	soil	BI	10.341746	-85.364976
E2_soil	E2	soil	E	28.55832	-81.639747
N3_soil	N3	soil	N	30.747062	-82.070194
Q1_soil	Q1	soil	Q	32.305494	-81.044083
U18_soil	U18	soil	U	35.901342	-78.946285
E3_soil	E3	soil	E	28.55832	-81.639747
O1_soil	O1	soil	O	31.097712	-81.728047
Q6_soil	Q6	soil	Q	32.305494	-81.044083
U6_soil	U6	soil	U	35.901342	-78.946285
BI9_soil	BI9	soil	BI	10.341746	-85.364976
E4_soil	E4	soil	E	28.55832	-81.639747
O11_soil	O11	soil	O	31.097712	-81.728047
Q7_soil	Q7	soil	Q	32.305494	-81.044083
U9_soil	U9	soil	U	35.901342	-78.946285
BI3_soil	BI3	soil	BI	10.341746	-85.364976
BI9_nodule	BI9	nodule	BI	10.341746	-85.364976
BN8_nodule	BN8	nodule	BN	10.444444	-84.00583333
E5_nodule	E5	nodule	E	28.55832	-81.639747
MIR123_nodule	MIR123	nodule	MIR	8.68027778	-82.93638889
P2_nodule	P2	nodule	P	31.46366	-81.364939
STH1_nodule	STH1	nodule	STH	9.483609	-84.14139
U9_nodule	U9	nodule	U	35.901342	-78.946285
A11_nodule	A11	nodule	A	26.925556	-82.335281
BJ4_nodule	BJ4	nodule	BJ	10.346475	-85.358367
BUS135_nodule	BUS135	nodule	BUS	8.782922	-82.960249
G1_nodule	G1	nodule	G	27.917146	-81.999784
MIR138_nodule	MIR138	nodule	MIR	8.68027778	-82.93638889
P6_nodule	P6	nodule	P	31.46366	-81.364939
STH10_nodule	STH10	nodule	STH	9.483609	-84.14139
V4_nodule	V4	nodule	V	35.514389	-78.957078
A7_nodule	A7	nodule	A	26.925556	-82.335281
BL1_nodule	BL1	nodule	BL	10.358333	-85.3202778
BUS900_nodule	BUS900	nodule	BUS	8.782922	-82.960249
G4_nodule	G4	nodule	G	27.917146	-81.999784
N3_nodule	N3	nodule	N	30.747062	-82.070194
P7_nodule	P7	nodule	P	31.46366	-81.364939
STH11_nodule	STH11	nodule	STH	9.483609	-84.14139
X10_nodule	X10	nodule	X	35.108086	-79.718977
A8_nodule	A8	nodule	A	26.925556	-82.335281
BL5_nodule	BL5	nodule	BL	10.358333	-85.3202778
BUS91_nodule	BUS91	nodule	BUS	8.782922	-82.960249
H1_nodule	H1	nodule	H	28.06434	-82.571465
O1_nodule	O1	nodule	O	31.097712	-81.728047
Q1_nodule	Q1	nodule	Q	32.305494	-81.044083
STH2_nodule	STH2	nodule	STH	9.483609	-84.14139
Y4_nodule	Y4	nodule	Y	38.269308	-77.206498
A9_nodule	A9	nodule	A	26.925556	-82.335281
BL6_nodule	BL6	nodule	BL	10.358333	-85.3202778
D2_nodule	D2	nodule	D	26.181227	-81.555852
H3_nodule	H3	nodule	H	28.06434	-82.571465
