sample-id	sample-id-clean	nodule-no	population-id	latitude 	longitude 	sample-type
208.Q9_culture	Q9_culture	9	Q	32.305494	-81.044083	culture
216.R1_culture	R1_culture	5	R	32.302081	-81.775907	culture
224.R2_culture	R2_culture	11	R	32.302081	-81.775907	culture
232.R6_culture	R6_culture	5	R	32.302081	-81.775907	culture
240.R7_culture	R7_culture	9	R	32.302081	-81.775907	culture
248.R9_culture	R9_culture	8	R	32.302081	-81.775907	culture
256.S1_culture	S1_culture	14	S	36.516111	-78.73027778	culture
264.S2_culture	S2_culture	13	S	36.516111	-78.73027778	culture
272.S3_culture	S3_culture	16	S	36.516111	-78.73027778	culture
280.S4_culture	S4_culture	NA	S	36.516111	-78.73027778	culture
289.S6_culture	S6_culture	6	S	36.516111	-78.73027778	culture
297.S7_culture	S7_culture	23	S	36.516111	-78.73027778	culture
305.S8_culture	S8_culture	9	S	36.516111	-78.73027778	culture
313.S9_culture	S9_culture	12	S	36.516111	-78.73027778	culture
381.single_BA3_culture	single_BA3_culture	1	BA	38.63593	-77.539996	culture
365.single_BI9_culture	single_BI9_culture	1	BI	10.341746	-85.364976	culture
317.single_D3_culture	single_D3_culture	1	D	26.181227	-81.555852	culture
325.single_H8_culture	single_H8_culture	1	H	28.06434	-82.571465	culture
333.single_K2_culture	single_K2_culture	1	K	29.334928	-81.109401	culture
341.single_Q2_culture	single_Q2_culture	1	Q	32.305494	-81.044083	culture
349.single_Q6_culture	single_Q6_culture	1	Q	32.305494	-81.044083	culture
288.single_S5_culture	single_S5_culture	1	S	36.516111	-78.73027778	culture
373.single_STH1_culture	single_STH1_culture	1	STH	9.483609	-84.14139	culture
357.single_T3_culture	single_T3_culture	1	T	35.979398	-79.001465	culture
321.STH1_culture	STH1_culture	15	STH	9.483609	-84.14139	culture
329.STH10_culture	STH10_culture	11	STH	9.483609	-84.14139	culture
337.STH11_culture	STH11_culture	11	STH	9.483609	-84.14139	culture
345.STH2_culture	STH2_culture	3	STH	9.483609	-84.14139	culture
353.STH23_culture	STH23_culture	11	STH	9.483609	-84.14139	culture
361.STH8_culture	STH8_culture	7	STH	9.483609	-84.14139	culture
369.T1_culture	T1_culture	6	T	35.979398	-79.001465	culture
377.T11_culture	T11_culture	12	T	35.979398	-79.001465	culture
290.T2_culture	T2_culture	3	T	35.979398	-79.001465	culture
298.T7_culture	T7_culture	4	T	35.979398	-79.001465	culture
306.T8_culture	T8_culture	10	T	35.979398	-79.001465	culture
314.T9_culture	T9_culture	8	T	35.979398	-79.001465	culture
322.U11_culture	U11_culture	6	U	35.901342	-78.946285	culture
330.U13_culture	U13_culture	3	U	35.901342	-78.946285	culture
338.U15_culture	U15_culture	5	U	35.901342	-78.946285	culture
346.U16_culture	U16_culture	3	U	35.901342	-78.946285	culture
354.U17_culture	U17_culture	2	U	35.901342	-78.946285	culture
362.U18_culture	U18_culture	9	U	35.901342	-78.946285	culture
370.U19_culture	U19_culture	3	U	35.901342	-78.946285	culture
378.U4_culture	U4_culture	4	U	35.901342	-78.946285	culture
291.U5_culture	U5_culture	3	U	35.901342	-78.946285	culture
299.U6_culture	U6_culture	12	U	35.901342	-78.946285	culture
307.U7_culture	U7_culture	4	U	35.901342	-78.946285	culture
315.U9_culture	U9_culture	5	U	35.901342	-78.946285	culture
323.V1_culture	V1_culture	4	V	35.514389	-78.957078	culture
331.V4_culture	V4_culture	5	V	35.514389	-78.957078	culture
339.V5_culture	V5_culture	5	V	35.514389	-78.957078	culture
347.V7_culture	V7_culture	8	V	35.514389	-78.957078	culture
